FAM	D	T	L
fix_3960_c60_lg_combined.ale.uml_rec	0.309416	1e-06	1e-06
fix_1915_c60_lg_combined.ale.uml_rec	0.00345364	0.271627	0.458476
fix_2105_c60_lg_combined.ale.uml_rec	1e-06	0.252234	1e-06
fix_1789_c60_lg_combined.ale.uml_rec	1e-06	0.376026	0.404565
fix_51_c60_lg_combined.ale.uml_rec	0.0826171	0.203236	0.278936
fix_348_c60_lg_combined.ale.uml_rec	1e-06	0.471826	0.432528
fix_1393_c60_lg_combined.ale.uml_rec	1e-06	0.565556	0.633333
fix_5357_c60_lg_combined.ale.uml_rec	0.822219	0.294066	0.756774
fix_5269_c60_lg_combined.ale.uml_rec	1e-06	0.247856	0.447355
fix_2421_c60_lg_combined.ale.uml_rec	1e-06	0.300288	1e-06
fix_752_c60_lg_combined.ale.uml_rec	1e-06	0.456698	0.457846
fix_4490_c60_lg_combined.ale.uml_rec	0.465905	2.45745e-05	0.14682
fix_4834_c60_lg_combined.ale.uml_rec	0.465905	2.45745e-05	0.14682
fix_2885_c60_lg_combined.ale.uml_rec	0.122759	0.114682	1e-06
fix_2619_c60_lg_combined.ale.uml_rec	1e-06	1e-06	0.325389
fix_5051_c60_lg_combined.ale.uml_rec	1e-06	1e-06	1e-06
fix_1095_c60_lg_combined.ale.uml_rec	1e-06	0.399641	0.43047
fix_2727_c60_lg_combined.ale.uml_rec	0.154919	7.79627e-06	0.425869
fix_454_c60_lg_combined.ale.uml_rec	0.677275	1e-06	0.396053
fix_4796_c60_lg_combined.ale.uml_rec	0.276194	1e-06	0.58947
fix_4252_c60_lg_combined.ale.uml_rec	1e-06	1e-06	1e-06
fix_190_c60_lg_combined.ale.uml_rec	0.0849339	0.131829	0.307777
fix_3524_c60_lg_combined.ale.uml_rec	1e-06	0.130305	0.00292664
fix_1551_c60_lg_combined.ale.uml_rec	0.232015	0.157971	0.518728
fix_1769_c60_lg_combined.ale.uml_rec	0.186825	0.175707	1e-06
fix_4154_c60_lg_combined.ale.uml_rec	8.3773e-05	1e-06	0.245381
fix_3980_c60_lg_combined.ale.uml_rec	0.21	1e-06	0.633333
fix_296_c60_lg_combined.ale.uml_rec	0.135474	0.19414	0.347471
fix_3622_c60_lg_combined.ale.uml_rec	0.67071	0.451986	0.702193
fix_1657_c60_lg_combined.ale.uml_rec	1e-06	1e-06	0.267628
fix_1373_c60_lg_combined.ale.uml_rec	0.971838	0.160417	0.346888
fix_810_c60_lg_combined.ale.uml_rec	1.00232	1e-06	0.0668734
fix_3306_c60_lg_combined.ale.uml_rec	0.203329	1e-06	0.48293
fix_4470_c60_lg_combined.ale.uml_rec	1e-06	1e-06	1e-06
fix_3238_c60_lg_combined.ale.uml_rec	0.174771	0.154466	0.166463
fix_5289_c60_lg_combined.ale.uml_rec	0.286146	1e-06	0.525545
fix_1075_c60_lg_combined.ale.uml_rec	1e-06	0.376111	1e-06
fix_2865_c60_lg_combined.ale.uml_rec	1e-06	1e-06	0.485792
fix_3000_c60_lg_combined.ale.uml_rec	0.187199	0.445054	0.648598
fix_4648_c60_lg_combined.ale.uml_rec	0.213559	0.189683	1e-06
fix_4776_c60_lg_combined.ale.uml_rec	0.305336	0.231074	0.361711
fix_3013_c60_lg_combined.ale.uml_rec	0.368635	0.157808	0.64154
fix_599_c60_lg_combined.ale.uml_rec	1e-06	0.672724	0.574298
fix_2876_c60_lg_combined.ale.uml_rec	1e-06	0.109742	0.211636
fix_1066_c60_lg_combined.ale.uml_rec	1.03524	9.51622e-06	0.0989769
fix_2948_c60_lg_combined.ale.uml_rec	0.140006	0.306187	0.698951
fix_1158_c60_lg_combined.ale.uml_rec	1e-06	0.187552	0.139295
fix_4765_c60_lg_combined.ale.uml_rec	1e-06	0.61978	0.81236
fix_3315_c60_lg_combined.ale.uml_rec	0.343679	0.66316	0.890443
fix_803_c60_lg_combined.ale.uml_rec	0.0524408	0.2001	0.353155
fix_1360_c60_lg_combined.ale.uml_rec	0.0399778	0.229412	0.532196
fix_285_c60_lg_combined.ale.uml_rec	0.000114795	0.342136	0.339312
fix_3993_c60_lg_combined.ale.uml_rec	0.353236	0.668835	0.889922
fix_4147_c60_lg_combined.ale.uml_rec	0.286713	1e-06	0.78391
fix_1644_c60_lg_combined.ale.uml_rec	1e-06	0.562531	0.683496
fix_4079_c60_lg_combined.ale.uml_rec	0.528305	1e-06	0.293446
fix_3631_c60_lg_combined.ale.uml_rec	0.41388	0.380817	1e-06
